Name,Date Added,Year,Last Played,Artist,Genre,Plays
Energy,"10/15/15, 5:25 PM",2015,"3/29/16, 10:03 AM",Drake,Rap,5
"Enjoy Right Now, Today","1/9/19, 7:55 PM",2017,,"Tyler, The Creator",Hip-Hop/Rap,
Enough,"10/25/16, 3:56 PM",2014,"1/23/17, 9:03 PM",Jeezy,Hip-Hop/Rap,3
Enough,"10/15/15, 6:32 PM",2014,"2/28/17, 3:27 AM",Jeezy,Rap,5
Enter Galactic (Love Connection Part I),"10/15/15, 5:45 PM",2009,,Kid Cudi,Rap,
"Enter Galactic (Love Connection, Pt. I)","10/25/16, 3:56 PM",2009,"3/14/17, 11:25 PM",Kid Cudi,Hip-Hop/Rap,1
Enter Sandman,"4/18/17, 4:22 PM",1991,"9/28/19, 2:58 PM",Metallica,Metal,2
Erase Me (feat. Kanye West),"7/30/15, 12:50 AM",2010,"7/12/20, 8:39 PM",Kid Cudi & Kanye West,Hip-Hop/Rap,61
Eruption,"4/20/18, 2:03 PM",1978,"4/30/18, 12:58 PM",Van Halen,Rock,1
ERYS,"7/14/19, 2:49 PM",2019,,Jaden,Hip-Hop/Rap,
Even Flow,"8/15/17, 2:25 PM",1991,"3/15/20, 5:48 PM",Pearl Jam,Alternative,23
Every Morning,"3/6/19, 11:46 PM",1999,,Sugar Ray,Rock,
Every Rose Has Its Thorn,"3/8/17, 12:57 PM",1988,"6/10/18, 5:16 PM",Poison,Rock,8
Every Season,"3/9/19, 2:09 PM",2018,"5/11/19, 11:46 AM",Roddy Ricch,Hip-Hop/Rap,2
Everybody,"6/3/17, 12:47 PM",2017,"9/30/18, 3:43 PM",Logic,Hip-Hop/Rap,5
Everybody Wants To Be Somebody,"5/28/18, 12:50 AM",2016,,"Damian ""Jr. Gong"" Marley",Reggae,
Everybody Wants to Rule the World,"4/26/19, 10:38 PM",2019,,Weezer,Alternative,
Everybody's Something (feat. Saba & BJ the Chicago Kid),"6/27/19, 10:32 PM",2013,,Chance the Rapper,Hip-Hop/Rap,
Everyday Struggle,"6/30/17, 9:45 AM",1994,"5/31/18, 4:02 PM",The Notorious B.I.G.,Hip-Hop/Rap,1
everything (feat. The-Dream & Kanye West),"6/19/18, 3:21 PM",2018,,Nas,Hip-Hop/Rap,
Everything I Am (feat. DJ Premier),"10/15/15, 11:52 AM",2007,"12/3/16, 3:06 PM",Kanye West & DJ Premier,Hip-Hop/Rap,23
Everything's Good (Good Ass Outro),"6/27/19, 10:32 PM",2013,,Chance the Rapper,Hip-Hop/Rap,
Evil Deeds,"12/2/16, 12:43 AM",2009,"12/30/16, 11:46 PM","Demoz, Des Devious, Jus Allah & Stoupe",Hip-Hop/Rap,2
Evil Deeds,"10/29/15, 12:32 AM",2004,,Eminem,Rap,
Evil Deeds,"10/25/16, 3:55 PM",2004,,Eminem,Hip-Hop/Rap,
Evil Woman,"2/27/18, 11:11 PM",1975,"6/13/18, 6:00 PM",Electric Light Orchestra,Rock,12
Express Yourself,"5/11/20, 10:15 PM",1988,,N.W.A.,Hip-Hop/Rap,
F.O.D.,"3/15/17, 12:52 AM",1994,,Green Day,Alternative,
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","6/30/17, 10:45 AM",2013,"6/24/19, 3:45 PM",A$AP Rocky,Hip-Hop/Rap,23
F*ck Your Ethnicity,"8/12/19, 11:16 AM",2011,"6/27/17, 9:52 AM",Kendrick Lamar,Hip Hop/Rap,
F*ckwithmeyouknowigotit (feat. Rick Ross),"11/25/16, 4:35 PM",2013,"8/5/17, 11:28 PM",JAY-Z,Hip-Hop/Rap,10
Fade to Black,"8/16/17, 1:25 PM",1984,"8/17/17, 9:04 AM",Metallica,Metal,2
Fake Love,"5/31/17, 2:58 AM",2016,"7/22/19, 3:20 PM",Drake,Hip-Hop/Rap,2
Fall,"9/22/18, 12:50 AM",2018,,Eminem,Hip-Hop/Rap,
Falling Down,"12/27/19, 10:47 AM",2019,,Hemlock & Jenna Graves,Dance,
Falling In Love,"5/16/20, 1:02 PM",1980,,Scorpions,Hard Rock,
Family Business,"3/26/20, 4:55 PM",1996,,Fugees,Hip-Hop/Rap,
Family Business,"10/15/15, 6:26 PM",2004,"2/28/17, 12:36 AM",Kanye West,Rap,28
Family Business,"10/25/16, 4:55 PM",2004,"8/18/19, 10:57 PM",Kanye West,Hip-Hop/Rap,45
Family Feud (feat. Beyoncé),"7/17/17, 9:50 PM",2017,"7/19/17, 7:38 AM",JAY-Z,Hip-Hop/Rap,1
Famous,"9/21/16, 11:01 PM",2016,"1/26/17, 3:48 PM",Kanye West,Hip-Hop/Rap,9
Fandango,"10/3/14, 9:46 PM",2005,"4/20/19, 7:42 PM",DJ Quik,Hip-Hop/Rap,114
Fantastic Man,"6/12/17, 5:30 PM",1979,,William Onyeabor,World,
Fast Lane,"6/9/12, 10:48 AM",2011,"2/25/17, 4:36 PM",Bad Meets Evil,Hip Hop/Rap,44
Fat Bottomed Girls (Single Version),"11/17/17, 1:57 PM",1978,"3/15/20, 4:30 PM",Queen,Rock,48
Fat Lady Sings,"10/25/16, 4:57 PM",2009,,Raekwon,Hip-Hop/Rap,
Fat Lady Sings,"10/21/15, 9:04 PM",2009,"2/3/16, 2:31 PM",Raekwon,Rap,1
Fat Lip,"9/3/16, 1:48 PM",2001,"4/6/20, 12:53 PM",Sum 41,Alternative,51
Faucet Failure,"2/1/19, 5:49 PM",2018,"11/25/19, 5:11 PM",Ski Mask the Slump God,Hip-Hop/Rap,24
Favorite Song,"4/30/15, 9:30 PM",,"8/7/19, 6:13 PM",Chance the Rapper,,69
Favorite Song (feat. Childish Gambino),"6/27/19, 10:32 PM",2013,"6/29/19, 2:21 PM",Chance the Rapper,Hip-Hop/Rap,1
FCUKIZYOUDOIN,"12/27/19, 10:36 AM",2019,"1/8/20, 3:59 PM",Kid Ink,Hip-Hop/Rap,2
FEAR.,"4/13/17, 8:52 PM",2017,"3/15/18, 5:52 PM",Kendrick Lamar,Hip-Hop/Rap,6
Feds Did a Sweep,"3/10/17, 5:18 PM",2017,"6/8/19, 4:35 PM",Future,Hip-Hop/Rap,4
Feds Watching,"7/7/15, 11:42 PM",,"2/6/18, 3:43 PM",2 Chainz,,22
Feel (feat. Kehlani),"6/30/18, 11:55 AM",2016,,Post Malone,Hip-Hop/Rap,
Feel So Good,"6/17/18, 9:52 PM",1997,"2/14/20, 3:05 PM",Mase,R&B/Soul,20
FEEL.,"4/13/17, 8:52 PM",2017,"9/26/19, 12:21 AM",Kendrick Lamar,Hip-Hop/Rap,63
Feelin' It,"10/29/15, 12:52 AM",1996,"9/17/16, 5:16 PM",Jay-Z,Rap,8
Feeling Whitney,"6/30/18, 12:51 PM",2016,"7/19/18, 5:23 PM",Post Malone,Hip-Hop/Rap,2
Fight the Power,"8/3/15, 9:35 PM",2001,"11/2/16, 6:27 PM",Public Enemy,Hip-Hop/Rap,3
Figure It Out (feat. Kanye West & Nas),"5/17/16, 12:15 AM",2016,"3/10/18, 1:38 PM",French Montana,Hip-Hop/Rap,9
Final Fantasy,"6/29/18, 10:45 AM",2018,,Drake,Hip-Hop/Rap,
Final Thought (Skit),"10/29/15, 12:41 AM",2004,"10/5/16, 12:49 PM",Eminem,Rap,3
Final Thought (Skit),"10/25/16, 4:55 PM",2004,"12/11/16, 5:32 PM",Eminem,Hip-Hop/Rap,3
Finesse,"6/29/18, 9:45 AM",2018,"7/14/18, 4:18 PM",Drake,Hip-Hop/Rap,2
Finesse the Plug Interlude,"5/26/17, 10:20 PM",2017,"6/10/17, 12:46 AM",Gucci Mane,Hip-Hop/Rap,4
Fire Dept,"7/14/19, 2:49 PM",2019,,Jaden,Hip-Hop/Rap,
Fire Squad,"10/21/15, 9:42 PM",2014,"7/9/16, 11:51 AM",J. Cole,Rap,4
Fire Squad,"11/1/16, 8:37 PM",2014,"6/8/19, 5:12 PM",J. Cole,Hip-Hop/Rap,5
Flash Light,"2/9/20, 2:38 PM",2000,,Parliament,Funk,
Flashing Lights,"10/15/15, 11:52 AM",2007,"3/14/20, 4:39 PM",Kanye West,Hip Hop/Rap,76
Flight of Icarus (2015 Remastered Version),"3/22/19, 8:34 PM",1983,"4/11/19, 3:46 PM",Iron Maiden,Metal,2
Flip,"3/10/17, 4:18 PM",2017,,Future,Hip-Hop/Rap,
FLIP THE SWITCH (feat. Drake),"10/20/18, 3:01 PM",2018,"1/31/19, 11:28 AM",Quavo,Hip-Hop/Rap,4
Flirtin' With Disaster,"4/21/17, 6:43 PM",1978,"6/13/19, 3:39 PM",Molly Hatchet,Rock,2
Float On,"3/5/17, 4:29 PM",2004,"11/3/19, 12:32 PM",Modest Mouse,Alternative,41
Fly,"8/18/16, 11:38 PM",1997,"3/14/19, 2:45 PM",Sugar Ray & Super Cat,Rock,9
Flying Whales,"8/8/19, 2:46 PM",2005,"8/8/19, 2:57 PM",GOJIRA,Metal,1
The Fool,"2/26/20, 2:04 PM",1998,,Neutral Milk Hotel,Alternative,
Fooled Around and Fell in Love,"1/31/17, 8:36 PM",1975,"2/3/17, 9:22 PM",Elvin Bishop,Rock,2
For Free? (Interlude),"10/21/15, 9:14 PM",2015,,Kendrick Lamar,Rap,
For Free? (Interlude),"10/25/16, 3:57 PM",2015,"6/19/17, 3:31 PM",Kendrick Lamar,Hip-Hop/Rap,1
For Sale? (Interlude),"10/21/15, 9:17 PM",2015,,Kendrick Lamar,Rap,
For What It's Worth,"2/8/17, 8:53 PM",1966,"3/7/18, 5:55 PM",Buffalo Springfield,Rock,4
For Whom the Bell Tolls,"9/27/19, 4:42 PM",1984,"9/29/19, 1:04 PM",Metallica,Metal,1
Forever Young,"2/4/17, 8:01 AM",1984,"11/24/19, 5:20 PM",Alphaville,Pop,1
Forever Young,"1/31/17, 9:38 PM",1974,"2/28/20, 7:28 PM",Bob Dylan,Rock,32
Foreword (feat. Rex Orange County),"1/9/19, 7:55 PM",2017,,"Tyler, The Creator",Hip-Hop/Rap,
Forgiveness,"12/17/15, 1:30 AM",2015,"1/11/18, 2:00 PM",MADE IN HEIGHTS,Pop,10
Forgot About Dre,"7/7/15, 11:29 PM",,"10/13/16, 4:25 PM",Dr. Dre,,3
Forgot About Dre (feat. Eminem),"6/29/17, 10:46 AM",1999,,Dr. Dre,Hip-Hop/Rap,
Fortunate Son,"1/31/17, 10:01 PM",1969,"2/17/20, 2:40 PM",Creedence Clearwater Revival,Rock,60
Four Sticks,"4/27/17, 1:31 AM",1971,"2/24/19, 3:59 PM",Led Zeppelin,Rock,1
Fox On The Run,"3/11/17, 10:13 PM",1974,"6/6/17, 10:29 AM",The Sweet,Rock,2
Fr Fr (feat. Lil Skies),"10/19/18, 11:47 AM",2018,,Wiz Khalifa,Hip-Hop/Rap,
Freaking Out the Neighborhood,"8/11/18, 1:07 PM",2012,"7/24/20, 3:19 PM",Mac DeMarco,Alternative,12
Freaks (feat. Savage),"11/12/18, 1:07 AM",2014,,Timmy Trumpet,Dance,
Freaky,"11/5/19, 4:39 PM",2019,"12/7/19, 4:49 AM",Tory Lanez,Hip-Hop/Rap,3
Free Bird,"2/1/17, 12:07 AM",1999,"3/15/20, 4:23 PM",Lynyrd Skynyrd,Rock,42
Free Fallin',"3/25/19, 8:18 PM",1989,,Tom Petty,Rock,
Free Falling,"8/3/15, 9:35 PM",,"10/9/15, 12:57 AM",Tom Petty,,1
Free Smoke,"5/31/17, 1:58 AM",2017,"3/7/18, 4:53 PM",Drake,Hip-Hop/Rap,3
Free Spirit,"5/2/19, 5:39 PM",2019,,Khalid,R&B/Soul,
FREE THE HOMIES INTERLUDE,"8/11/18, 2:24 PM",2018,,YG,Hip-Hop/Rap,
Freedom,"10/16/15, 6:30 PM",2012,"1/25/17, 3:00 PM",The Game Feat. Elijah Blake,Rap,7
Freedom (feat. Elijah Blake),"5/31/17, 7:24 PM",2012,"6/4/18, 12:22 PM",The Game,Hip-Hop/Rap,2
Friend of Mine,"6/30/17, 10:45 AM",1994,,The Notorious B.I.G.,Hip-Hop/Rap,
Friend Or Foe,"10/29/15, 12:53 AM",1996,"7/10/16, 1:42 PM",Jay-Z,Rap,1
Friends,"2/24/19, 3:32 PM",1970,,Led Zeppelin,Rock,
From Adam (feat. Lil Wayne),"10/15/15, 8:02 PM",2015,"8/23/19, 8:16 PM",The Game,Hip-Hop/Rap,36
From Adam (feat. Lil Wayne),"5/11/20, 10:33 PM",2015,,The Game,Hip-Hop/Rap,
Fu-Gee-La,"3/26/20, 4:55 PM",1995,,Fugees,Hip-Hop/Rap,
Fu-Gee-La (Refugee Camp Global Mix),"3/26/20, 4:55 PM",1996,,Fugees,Hip-Hop/Rap,
Fu-Gee-La (Refugee Camp Remix),"3/26/20, 4:55 PM",1996,,Fugees,Hip-Hop/Rap,
Fu-Gee-La (Sly & Robbie Mix),"3/26/20, 4:55 PM",1996,,Fugees,Hip-Hop/Rap,
F**k tha Police,"5/11/20, 10:15 PM",1988,,N.W.A.,Hip-Hop/Rap,
Fuck up some Commas,"7/8/15, 9:43 PM",,"10/29/15, 12:11 AM",Future,,1
Fuck up some Commas,"7/8/15, 8:43 PM",,"10/28/15, 11:11 PM",Future,,1
F*****g Hostile,"9/14/19, 1:28 PM",1992,"9/14/19, 1:31 PM",Pantera,Metal,1
Fuel,"10/26/18, 11:28 AM",1997,"4/17/19, 6:41 PM",Metallica,Metal,1
The Funeral,"8/26/17, 6:14 PM",2006,"4/11/18, 3:52 PM",Band of Horses,Alternative,3
Fury of the Storm,"12/24/18, 12:58 PM",2004,"7/23/19, 6:11 PM",DragonForce,Metal,7
Future People,"10/14/19, 10:05 PM",2015,,Alabama Shakes,Alternative,
G. O. M. D.,"10/21/15, 9:43 PM",2014,"10/6/16, 9:44 PM",J. Cole,Rap,7
G.O.M.D.,"11/1/16, 8:37 PM",2014,"1/7/19, 4:22 PM",J. Cole,Hip-Hop/Rap,14
Gallows Pole,"2/24/19, 3:32 PM",1970,,Led Zeppelin,Rock,
Galvanize,"2/4/17, 8:12 AM",2005,,The Chemical Brothers,Electronic,
The Gambler,"3/8/17, 12:55 PM",1978,"9/11/17, 1:34 PM",Kenny Rogers,Country,2
Gang Bang Anyway (feat. Jay Rock & ScHoolboy Q),"10/15/15, 7:02 PM",2015,"1/7/17, 4:22 PM",The Game,Hip-Hop/Rap,2
Gang Related,"10/16/15, 5:32 PM",2014,"12/5/16, 8:20 AM",Logic,Dance & House,4
Gang Related (feat. Asia),"10/15/15, 7:02 PM",2015,"11/12/15, 11:20 PM",The Game,Hip-Hop/Rap,1
Gangland (2015 Remastered Version),"10/30/18, 9:18 PM",1982,"3/31/19, 3:47 PM",Iron Maiden,Metal,3
Gangsta,"10/14/15, 9:18 PM",2004,,Akon,R&B/Soul,
Gangsta Gangsta,"5/11/20, 10:15 PM",1988,,N.W.A.,Hip-Hop/Rap,
Gangsta's Paradise,"6/16/13, 3:13 PM",2005,"7/14/18, 4:08 PM",Coolio,Hip Hop/Rap,6
Garden Grove,"2/4/17, 7:30 AM",1996,"8/10/17, 4:03 PM",Sublime,Pop,10
Garden Shed (feat. Estelle),"1/9/19, 7:55 PM",2017,,"Tyler, The Creator",Hip-Hop/Rap,
Gears,"6/18/20, 9:14 PM",2020,,Lamb of God,Metal,
Gemini,"10/14/19, 10:05 PM",2015,,Alabama Shakes,Alternative,
The Genesis,"3/15/17, 1:04 AM",1994,"4/19/19, 2:49 PM",Nas,Hip-Hop/Rap,2
Georgia on My Mind,"1/3/20, 5:57 PM",1960,"2/13/20, 7:48 PM",Ray Charles,World,1
Get Down,"4/16/19, 4:35 PM",2002,"8/28/19, 7:29 PM",Nas,Hip-Hop/Rap,5
Get Down On It,"11/15/19, 1:24 AM",1981,"3/22/20, 3:41 PM",Kool & The Gang,R&B/Soul,8
Get Em High,"10/15/15, 6:07 PM",2004,"6/22/16, 12:31 PM",Kanye West,Rap,1
Get Em High (feat. Talib Kweli & Common),"10/25/16, 3:55 PM",2004,"6/17/18, 8:06 PM",Kanye West,Hip-Hop/Rap,2
Get It Together (feat. Black Coffee & Jorja Smith),"5/31/17, 2:58 AM",2017,,Drake,Hip-Hop/Rap,
Get Low,"3/30/18, 11:41 AM",2002,"10/20/18, 5:44 PM",Lil Jon & The East Side Boyz & Ying Yang Twins,Hip-Hop/Rap,3
Get Ready,"2/4/17, 7:30 AM",1996,,Sublime,Pop,
The Ghetto (feat. Nas & will.i.am),"10/15/15, 7:02 PM",2015,"4/20/16, 3:07 PM",The Game,Hip-Hop/Rap,1
Ghetto Dreams (feat. Nas),"5/8/12, 5:11 PM",2011,"5/7/18, 5:38 PM",Common,Hip-Hop/Rap,53
Ghost,"2/26/20, 2:04 PM",1998,,Neutral Milk Hotel,Pop,
Ghost (feat. A$AP Rocky) [Remix],"7/14/19, 2:49 PM",2019,,Jaden,Hip-Hop/Rap,
Gihad,"10/21/15, 8:59 PM",2009,"7/9/16, 12:06 AM",Raekwon,Rap,4
Gihad (feat. Ghostface Killah),"10/25/16, 3:57 PM",2009,,Raekwon,Hip-Hop/Rap,
Gimme All Your Love,"10/14/19, 10:05 PM",2015,"10/14/19, 10:11 PM",Alabama Shakes,Alternative,1
Gimme All Your Lovin',"5/1/20, 3:51 PM",1983,"6/19/20, 11:04 AM",ZZ Top,Hard Rock,8
Gimme Little Sign,"10/31/18, 10:10 PM",1966,"8/15/20, 12:05 PM",Brenton Wood,Soundtrack,9
Gimme Shelter (Remastered 2019),"3/17/20, 1:09 AM",1969,"3/30/20, 2:07 AM",The Rolling Stones,Rock,3
Gimme the Loot,"6/30/17, 10:45 AM",1994,"3/14/20, 4:35 PM",The Notorious B.I.G.,Hip-Hop/Rap,56
Gin and Juice,"5/11/12, 11:51 AM",1993,"2/8/18, 2:01 PM",Snoop Dogg & Dat Nigga Daz,Hip-Hop/Rap,13
Girl On Fire,"10/12/19, 3:56 PM",2012,,Alicia Keys,R&B/Soul,
Give It Up (Radio Version),"8/3/15, 9:35 PM",2001,"10/17/15, 5:37 PM",Public Enemy,Hip-Hop/Rap,1
Give Thanks (feat. Stick Figure),"3/5/19, 4:50 PM",2017,,Iya Terra,Reggae,
Glitter,"1/9/19, 7:55 PM",2017,,"Tyler, The Creator",Hip-Hop/Rap,
The Glory,"10/15/15, 11:52 AM",2007,"9/29/18, 9:56 AM",Kanye West,Hip Hop/Rap,13
Glow (feat. Kanye West),"5/31/17, 1:58 AM",2017,,Drake,Hip-Hop/Rap,
Go Flex,"6/10/17, 11:00 PM",2016,"6/3/18, 9:32 PM",Post Malone,Hip-Hop/Rap,2
Go Loko (feat. Tyga & Jon Z),"6/12/19, 2:53 PM",2019,"9/25/19, 11:26 PM",YG,Hip-Hop/Rap,6
Go to Hell,"6/1/19, 6:05 PM",1976,,Alice Cooper,Hard Rock,
GOD.,"4/13/17, 7:52 PM",2017,"1/21/20, 12:31 PM",Kendrick Lamar,Hip-Hop/Rap,87
God's Plan,"3/30/18, 10:27 AM",2018,"8/15/18, 10:58 AM",Drake,Hip-Hop/Rap,10
God's Plan,"6/29/18, 9:45 AM",2018,"9/29/18, 9:00 AM",Drake,Hip-Hop/Rap,2
Goddamn (feat. A Boogie wit da Hoodie),"7/1/19, 12:56 PM",2019,"7/19/19, 5:41 PM",Tyga,Hip-Hop/Rap,4
Going Bad (feat. Drake),"12/14/18, 1:39 PM",2018,"1/14/19, 12:02 PM",Meek Mill,Hip-Hop/Rap,4
Going On,"7/2/16, 12:40 PM",2008,"1/18/17, 7:07 PM",Gnarls Barkley,Alternative,22
Going Through Changes,"12/2/16, 12:08 AM",2010,"7/31/17, 4:10 PM",Eminem,Hip-Hop/Rap,1
Going to California,"4/27/17, 2:31 AM",1971,"7/12/20, 11:49 AM",Led Zeppelin,Rock,9
Going Up the Country,"11/26/18, 12:15 AM",1972,"3/17/20, 5:34 PM",Canned Heat,Rock,70
Gold Digger,"10/15/15, 5:53 PM",2005,"6/19/16, 11:30 AM",Kanye West,Rap,5
Gold Digger (feat. Jamie Foxx),"5/26/09, 4:23 PM",2005,"8/21/20, 3:08 PM",Kanye West,Hip Hop/Rap,81
Goldie,"6/30/17, 10:45 AM",2012,"3/13/20, 1:13 PM",A$AP Rocky,Hip-Hop/Rap,28
Gone,"10/15/15, 6:00 PM",2005,"10/8/16, 4:00 PM",Kanye West,Rap,12
Gone (feat. Consequence & Cam'ron),"10/25/16, 4:54 PM",2005,"8/2/20, 6:00 PM",Kanye West,Hip-Hop/Rap,51
Good Ass Intro (feat. BJ the Chicago Kid),"6/27/19, 10:32 PM",2013,,Chance the Rapper,Hip-Hop/Rap,
Good Day,"9/7/19, 9:20 PM",2008,,Nappy Roots,Hip-Hop,
Good Dope,"3/10/17, 4:18 PM",2017,"3/13/17, 2:32 PM",Future,Hip-Hop/Rap,2
Good Guy (feat. Jessie Reyez),"9/22/18, 12:50 AM",2018,,Eminem,Hip-Hop/Rap,
Good Kid,"3/8/15, 12:12 AM",2013,"6/25/17, 2:08 PM",Kendrick Lamar,Hip-Hop/Rap,5
Good Life (feat. T-Pain),"10/15/15, 10:52 AM",2007,"8/6/17, 3:35 PM",Kanye West & T-Pain,Hip-Hop/Rap,20
Good Morning,"10/15/15, 10:52 AM",2007,"11/5/19, 4:18 PM",Kanye West,Hip-Hop/Rap,70
Good Night (Bonus Track),"10/15/15, 10:52 AM",2007,"10/5/19, 2:41 PM","Kanye West, Mos Def & Al Be Back",Hip Hop/Rap,74
Good Riddance (Time of Your Life),"3/5/17, 10:37 PM",1997,"10/30/18, 1:24 PM",Green Day,Alternative,22
Good Times Bad Times,"2/24/19, 4:32 PM",1969,"1/15/20, 9:59 PM",Led Zeppelin,Rock,7
Good Times Roll,"11/25/17, 12:08 PM",1978,"11/2/19, 12:39 PM",The Cars,Rock,18
Goodbye,"2/24/20, 10:58 AM",2020,,Ozzy Osbourne,Metal,
goosebumps,"11/5/16, 7:00 PM",2016,"8/4/17, 8:16 AM",Travis Scott,Hip-Hop/Rap,18
Gorgeous (feat. Kid Cudi & Raekwon),"1/30/15, 12:07 AM",2010,"5/10/20, 1:52 PM","Kanye West, Kid Cudi & Raekwon",Hip-Hop/Rap,88
Got It,"7/14/19, 2:49 PM",2019,,Jaden,Hip-Hop/Rap,
Got to Be Real (Single Version),"7/18/19, 12:00 AM",1978,"7/18/19, 1:25 PM",Cheryl Lynn,R&B/Soul,1
Got to Be Real (Single Version),"3/26/20, 4:56 PM",1978,,Cheryl Lynn,Rock,
Got Your Money (feat. Kelis),"7/7/16, 12:27 AM",1999,"12/1/16, 4:41 PM",Ol' Dirty Bastard,Hip-Hop/Rap,8
Gotta Have It,"9/26/17, 5:35 PM",2011,"10/5/17, 10:02 AM",JAY-Z & Kanye West,Hip-Hop/Rap,1
Graduation Day,"10/15/15, 6:04 PM",2004,"10/17/15, 5:43 PM",Kanye West,Rap,1
Graduation Day,"10/25/16, 4:55 PM",2004,"1/22/17, 2:08 PM",Kanye West,Hip-Hop/Rap,2
The Greatest,"10/14/19, 10:05 PM",2015,,Alabama Shakes,Alternative,
Greatest,"9/22/18, 12:50 AM",2018,,Eminem,Hip-Hop/Rap,
The Greatest,"1/12/17, 11:51 PM",2016,,Sia,Pop,
Greatest Show On Earth,"12/23/16, 12:58 AM",2016,"6/10/18, 4:05 PM",Gucci Mane,Hip-Hop/Rap,6
Green Grass and High Tides,"2/27/17, 11:49 PM",1975,"3/25/19, 1:30 PM",The Outlaws,Rock,6
Green River,"2/7/17, 2:57 AM",1969,"6/28/17, 10:53 AM",Creedence Clearwater Revival,Rock,4
Grindin',"12/2/16, 12:19 AM",2002,"9/21/18, 9:03 PM",Clipse,Hip-Hop/Rap,7
Grinding All My Life,"11/24/18, 2:01 PM",2018,,Nipsey Hussle,Hip-Hop/Rap,
Growing Pains III,"10/16/15, 5:33 PM",2014,"1/25/16, 1:28 PM",Logic,Dance & House,1
Grown & Sexy (feat. Stephen Marley),"5/28/18, 12:50 AM",2017,,"Damian ""Jr. Gong"" Marley",Reggae,
GTA,"7/7/15, 9:13 PM",,"1/29/16, 3:18 PM",N.W.A.,,5
Guess Who,"10/14/19, 10:05 PM",2015,,Alabama Shakes,Alternative,
Guillotine (Swordz),"1/29/15, 11:59 PM",1994,"6/4/19, 1:54 PM",Chef Raekwon,Hip-Hop/Rap,40
Gyalchester,"5/31/17, 1:58 AM",2017,"6/8/17, 3:34 PM",Drake,Hip-Hop/Rap,2
Hail to the King,"5/15/19, 9:15 PM",2013,"2/17/20, 1:04 PM",Avenged Sevenfold,Metal,3
Halftime,"3/15/17, 12:04 AM",1992,,Nas,Hip-Hop/Rap,
Hallelujah,"10/16/15, 6:30 PM",2012,"5/17/17, 4:59 PM",The Game Feat. Jamie Foxx,Rap,41
Hallelujah,"2/27/17, 4:07 PM",2001,"7/23/18, 11:14 PM",Rufus Wainwright,Rock,2
Hallelujah (feat. Jamie Foxx),"5/31/17, 7:24 PM",2012,"2/14/19, 5:23 PM",The Game,Hip-Hop/Rap,30
Hallowed Be Thy Name (2015 Remastered Version),"10/30/18, 4:29 PM",1982,"3/16/20, 12:31 PM",Iron Maiden,Metal,116
Halo Theme Mjolnir Mix,"3/7/19, 3:11 PM",2004,"12/5/19, 2:34 PM",Martin O'Donnell & Michael Salvatori,Soundtrack,4
HANDGUN (feat. A$AP Rocky),"8/11/18, 2:24 PM",2018,,YG,Hip-Hop/Rap,
Happy Together,"4/26/19, 10:38 PM",2019,,Weezer,Alternative,
A Hard Day's Night,"4/20/19, 12:48 PM",1964,,The Beatles,Rock,
Harder Than You Think,"2/8/15, 6:41 PM",2007,"1/30/20, 4:12 PM",Public Enemy,Hip Hop/Rap,29
Hash Pipe,"8/15/17, 12:31 PM",2001,"7/13/19, 2:09 PM",Weezer,Rock,22
Hashtag (feat. Jelly Roll),"10/8/15, 9:28 PM",2015,"10/14/15, 11:09 PM",The Game,Hip-Hop/Rap,1
Hate Bein' Sober (feat. 50 Cent & Wiz Khalifa),"7/1/17, 10:10 PM",2012,"7/28/17, 2:26 PM",Chief Keef,Hip-Hop/Rap,4
Hate It or Love It,"2/1/15, 11:47 PM",2005,"12/11/19, 12:32 AM",Game,,76
Hate It or Love It (feat. 50 Cent),"1/30/15, 12:09 AM",2005,"8/21/20, 3:11 PM",The Game,Hip-Hop/Rap,1
Hats Off to (Roy) Harper,"2/24/19, 4:32 PM",1970,,Led Zeppelin,Rock,
Have Mercy,"10/21/15, 9:03 PM",2009,"2/20/16, 5:54 PM",Raekwon,Rap,1
Have Mercy (feat. Beanie Sigel),"10/25/16, 3:57 PM",2009,,Raekwon,Hip-Hop/Rap,
Have You Ever Seen the Rain,"1/31/17, 9:15 PM",1970,"3/1/19, 3:52 PM",Creedence Clearwater Revival,Rock,45
Having a Blast,"3/14/17, 11:52 PM",1994,"2/8/18, 1:49 PM",Green Day,Alternative,1
Hawaiian Roller Coaster Ride,"6/1/15, 5:25 PM",2006,"11/29/16, 7:53 PM",Kamehameha Schools Children's Chorus & Mark Keali'i Ho'omalu,Soundtrack,16
Hawaiian Roller Coaster Ride,"5/8/15, 5:15 PM",2006,"11/29/16, 7:53 PM",Kamehameha Schools Children's Chorus & Mark Keali'i Ho'omalu,Soundtrack,16
He got game,"8/23/15, 11:13 AM",,"6/16/20, 3:11 PM",Public Enemy,,29
Head Over Feet,"8/20/19, 12:34 AM",1995,,Alanis Morissette,Alternative,
HeadBand (feat. 2 Chainz),"5/12/17, 9:52 PM",2013,"1/31/19, 10:18 PM",B.o.B,Hip-Hop/Rap,24
Heard 'Em Say,"10/15/15, 5:52 PM",2005,"10/7/16, 7:04 PM",Kanye West,Rap,4
Heard 'Em Say (feat. Adam Levine),"10/25/16, 4:54 PM",2005,"1/30/20, 5:07 PM",Kanye West,Hip-Hop/Rap,27
